,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,99.58%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.12%,0.12%,0.00%,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1,0.48%,66.36%,0.48%,0.85%,0.79%,2.91%,1.45%,0.55%,0.91%,1.27%,0.67%,0.79%,0.61%,0.97%,1.45%,0.61%,1.39%,1.39%,1.21%,1.03%,3.27%,0.36%,2.18%,3.64%,0.67%,0.42%,0.55%,0.73%,0.79%,1.21%
2,0.00%,0.18%,95.76%,0.00%,0.06%,0.18%,0.36%,0.06%,0.06%,0.06%,0.36%,0.06%,0.00%,0.06%,0.12%,0.12%,0.12%,0.24%,0.06%,0.00%,0.12%,0.12%,0.42%,0.36%,0.30%,0.18%,0.12%,0.36%,0.12%,0.00%
3,0.06%,0.42%,0.12%,96.42%,0.00%,0.00%,0.30%,0.12%,0.06%,0.00%,0.12%,0.48%,0.06%,0.06%,0.06%,0.24%,0.12%,0.06%,0.00%,0.12%,0.24%,0.00%,0.18%,0.24%,0.06%,0.00%,0.00%,0.06%,0.30%,0.06%
4,0.00%,0.06%,0.06%,0.00%,98.48%,0.12%,0.12%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.12%,0.00%,0.48%,0.00%,0.12%,0.00%,0.12%,0.00%,0.00%,0.00%,0.18%,0.00%,0.00%
5,0.55%,0.85%,0.06%,0.42%,0.24%,85.39%,2.42%,0.67%,0.48%,0.91%,0.61%,0.30%,0.36%,0.24%,0.79%,0.36%,0.12%,0.61%,0.00%,0.61%,0.55%,0.18%,0.79%,0.85%,0.18%,0.12%,0.48%,0.79%,0.00%,0.06%
6,0.30%,0.73%,0.00%,0.73%,0.18%,0.73%,93.33%,0.12%,0.24%,0.12%,0.00%,0.18%,0.00%,0.00%,0.30%,0.00%,0.00%,0.48%,0.48%,0.24%,0.00%,0.06%,0.30%,0.12%,0.12%,0.12%,0.24%,0.42%,0.42%,0.00%
7,0.00%,0.06%,0.06%,0.00%,0.00%,0.06%,0.30%,97.82%,0.06%,0.12%,0.00%,0.00%,0.12%,0.00%,0.12%,0.00%,0.18%,0.06%,0.30%,0.36%,0.00%,0.00%,0.12%,0.18%,0.00%,0.00%,0.00%,0.06%,0.00%,0.00%
8,0.18%,0.06%,0.18%,0.00%,0.30%,0.06%,0.06%,0.18%,96.55%,0.24%,0.06%,0.00%,0.30%,0.00%,0.24%,0.00%,0.24%,0.12%,0.24%,0.42%,0.00%,0.18%,0.12%,0.00%,0.00%,0.06%,0.06%,0.12%,0.00%,0.00%
9,0.00%,0.55%,0.00%,0.42%,0.06%,0.79%,0.00%,0.06%,0.12%,95.76%,0.00%,0.00%,0.06%,0.00%,0.12%,0.00%,0.06%,0.18%,0.18%,0.36%,0.00%,0.06%,0.06%,0.24%,0.18%,0.00%,0.24%,0.12%,0.36%,0.00%
