,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,99.69%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.24%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
1,0.31%,79.61%,0.31%,0.94%,0.78%,1.33%,0.55%,0.31%,0.63%,1.25%,0.71%,0.71%,0.55%,0.16%,0.55%,0.00%,0.31%,0.39%,0.31%,0.94%,2.99%,0.31%,1.49%,1.80%,0.86%,0.16%,0.23%,0.47%,0.16%,0.78%
2,0.08%,0.00%,97.65%,0.08%,0.16%,0.00%,0.47%,0.00%,0.00%,0.08%,0.24%,0.00%,0.23%,0.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.16%,0.47%,0.00%,0.00%,0.00%,0.16%,0.00%,0.00%
3,0.00%,0.08%,0.00%,98.67%,0.00%,0.24%,0.00%,0.00%,0.00%,0.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.31%,0.16%,0.00%,0.24%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%
4,0.00%,0.00%,0.00%,0.00%,99.92%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
5,0.23%,0.63%,0.00%,0.31%,0.39%,93.57%,0.47%,0.24%,0.00%,1.02%,0.00%,0.24%,0.00%,0.78%,0.08%,0.00%,0.08%,0.24%,0.23%,0.00%,0.16%,0.16%,0.08%,0.16%,0.16%,0.00%,0.23%,0.08%,0.00%,0.47%
6,0.16%,0.16%,0.00%,0.47%,0.23%,0.94%,95.53%,0.31%,0.08%,0.16%,0.00%,0.00%,0.00%,0.08%,0.24%,0.00%,0.08%,0.39%,0.08%,0.24%,0.00%,0.08%,0.08%,0.16%,0.08%,0.08%,0.16%,0.16%,0.08%,0.00%
7,0.00%,0.00%,0.08%,0.00%,0.31%,0.47%,0.16%,97.65%,0.00%,0.31%,0.08%,0.00%,0.08%,0.00%,0.16%,0.00%,0.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%,0.16%,0.00%,0.00%,0.00%,0.23%,0.00%,0.00%
8,0.00%,0.08%,0.08%,0.08%,0.08%,0.00%,0.00%,0.16%,98.51%,0.00%,0.00%,0.00%,0.31%,0.00%,0.16%,0.00%,0.00%,0.00%,0.00%,0.39%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.08%,0.00%,0.00%
9,0.00%,0.24%,0.00%,0.00%,0.08%,0.00%,0.00%,0.39%,0.08%,98.52%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.16%,0.08%,0.00%,0.00%,0.23%,0.08%,0.00%,0.00%
10,0.16%,0.63%,0.00%,0.00%,0.00%,0.08%,0.00%,0.16%,0.00%,0.23%,97.57%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.16%,0.08%,0.00%,0.24%,0.31%,0.16%,0.00%,0.00%,0.16%,0.00%
11,0.00%,0.08%,0.00%,0.08%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,98.43%,0.00%,0.00%,0.24%,0.00%,0.16%,0.00%,0.00%,0.31%,0.16%,0.08%,0.08%,0.16%,0.00%,0.08%,0.00%,0.00%,0.00%,0.08%
12,0.00%,0.71%,0.08%,0.31%,0.39%,0.31%,0.16%,0.39%,0.39%,0.55%,0.00%,0.00%,94.92%,0.00%,0.24%,0.00%,0.31%,0.00%,0.08%,0.31%,0.08%,0.00%,0.08%,0.08%,0.31%,0.00%,0.00%,0.16%,0.08%,0.08%
13,0.00%,0.16%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,99.77%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
14,0.08%,0.08%,0.16%,0.00%,0.00%,0.00%,0.16%,0.00%,0.16%,0.00%,0.08%,0.08%,0.23%,0.08%,97.49%,0.00%,0.16%,0.00%,0.00%,0.08%,0.00%,0.16%,0.31%,0.00%,0.00%,0.08%,0.08%,0.31%,0.08%,0.16%
15,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,99.38%,0.00%,0.00%,0.00%,0.08%,0.00%,0.08%,0.00%,0.24%,0.08%,0.00%,0.00%,0.00%,0.00%,0.08%
16,0.23%,0.08%,0.00%,0.39%,0.00%,0.00%,0.55%,0.00%,0.00%,0.23%,0.00%,0.31%,0.00%,0.08%,0.00%,0.00%,96.78%,0.39%,0.00%,0.00%,0.00%,0.00%,0.16%,0.24%,0.00%,0.00%,0.16%,0.00%,0.31%,0.08%
17,0.00%,0.16%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.16%,0.00%,0.00%,0.16%,0.00%,0.39%,0.08%,98.12%,0.00%,0.16%,0.24%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.16%,0.00%,0.00%
18,0.00%,0.00%,0.08%,0.00%,0.23%,0.00%,0.00%,0.00%,0.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%,0.00%,0.00%,0.00%,99.22%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%
19,0.08%,0.16%,0.00%,0.08%,0.00%,0.00%,0.08%,0.00%,0.08%,0.16%,0.00%,1.02%,0.16%,0.00%,0.08%,0.00%,0.47%,0.08%,0.16%,96.31%,0.16%,0.00%,0.24%,0.71%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20,0.16%,1.42%,0.08%,0.39%,0.62%,0.63%,0.86%,0.24%,0.71%,0.55%,2.35%,0.63%,0.16%,0.86%,0.55%,0.47%,0.39%,0.86%,0.31%,0.71%,80.63%,1.33%,0.16%,2.04%,0.78%,0.86%,0.08%,0.39%,0.39%,0.31%
21,0.16%,0.24%,0.08%,0.00%,0.08%,0.00%,0.08%,0.31%,0.00%,0.08%,0.00%,0.00%,0.31%,0.23%,0.39%,0.08%,0.00%,0.08%,0.08%,0.08%,0.79%,95.69%,0.31%,0.31%,0.31%,0.00%,0.00%,0.00%,0.08%,0.24%
22,0.08%,0.31%,0.78%,0.00%,0.16%,0.00%,0.39%,0.31%,0.24%,0.39%,0.00%,0.00%,0.31%,0.00%,0.63%,0.00%,0.00%,0.08%,0.00%,0.39%,0.39%,0.08%,94.59%,0.55%,0.16%,0.16%,0.00%,0.00%,0.00%,0.00%
23,0.16%,1.81%,0.00%,0.08%,0.23%,0.08%,0.08%,0.31%,0.16%,0.31%,0.08%,0.39%,0.08%,0.16%,0.71%,0.08%,0.08%,0.24%,0.31%,0.39%,0.71%,0.16%,0.39%,92.08%,0.08%,0.00%,0.16%,0.16%,0.31%,0.24%
24,0.00%,0.00%,0.00%,0.08%,0.08%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,99.45%,0.00%,0.08%,0.00%,0.00%,0.00%
25,0.00%,0.31%,0.00%,0.00%,0.00%,0.00%,0.16%,0.08%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.16%,0.00%,0.08%,0.16%,0.00%,0.08%,0.08%,0.00%,0.08%,0.00%,0.00%,98.20%,0.00%,0.00%,0.39%,0.16%
26,0.08%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.24%,0.00%,0.00%,0.00%,0.16%,0.00%,0.00%,0.08%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,99.14%,0.00%,0.00%,0.08%
27,0.00%,0.31%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.08%,0.31%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.08%,0.08%,0.00%,0.24%,0.16%,0.00%,0.08%,0.00%,98.36%,0.08%,0.08%
28,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.16%,0.00%,0.00%,0.00%,0.16%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.31%,0.00%,0.00%,0.00%,0.39%,0.00%,0.00%,98.82%,0.00%
